Timestamp,Frequency (MHz),Classification,Bandwidth (MHz),Noise Floor (dB)
2026-06-16 20:39:54,99.5,FM,0.6821,-13.04
2026-06-16 20:46:07,99.5,FM,0.7046,-14.67
2026-06-16 20:46:14,97.8,FM,0.685,-14.51
2026-06-16 20:53:56,99.5,FM,0.7004,-13.45
2026-06-16 20:54:00,97.8,FM,0.6924,-14.06
2026-06-16 20:54:19,99.5,FM,0.7083,-14.54
2026-06-16 20:54:22,97.8,FM,0.6834,-13.66
2026-06-17 10:11:45,99.5,FM,0.6945,-13.41
2026-06-17 10:11:48,97.8,FM,0.7058,-14.08
2026-06-17 10:13:03,99.5,FM,0.7027,-13.9
2026-06-17 10:13:06,97.8,FM,0.6802,-13.82
2026-06-17 10:14:54,99.5,FM,0.7088,-14.08
2026-06-17 10:14:57,97.8,FM,0.6986,-13.84
2026-06-17 10:18:33,99.5,FM,0.7111,-13.8
2026-06-17 10:18:39,97.8,FM,0.6951,-14.95
2026-06-17 10:41:24,99.5,FM,0.6896,-13.59
2026-06-17 10:41:27,97.8,FM,0.6993,-14.43
2026-06-17 10:41:29,0.0,SYNTHETIC_FM,0.8239,-63.09
2026-06-17 10:41:32,0.0,SYNTHETIC_FM,1.1319,-31.31
2026-06-17 10:41:35,0.0,SYNTHETIC_NOISE,0.0,-100.0
2026-06-17 10:41:36,0.0,SYNTHETIC_FM,0.6983,46.22
2026-06-17 10:44:46,99.5,AM,0.0,-9.15
2026-06-17 10:44:51,97.8,AM,0.0,-9.66
2026-06-17 10:44:53,0.0,SYNTHETIC_DIGITAL,0.1104,-58.62
2026-06-17 10:44:58,0.0,SYNTHETIC_AM,0.0048,-25.96
2026-06-17 10:45:01,0.0,SYNTHETIC_AM,0.0,-100.0
2026-06-17 10:45:07,0.0,SYNTHETIC_DIGITAL,0.3217,50.62
2026-06-17 11:03:34,99.5,AM,0.0,-10.0
2026-06-17 11:03:51,97.8,AM,0.0,-9.93
2026-06-17 11:03:56,0.0,SYNTHETIC_FM,0.1582,-58.62
2026-06-17 11:04:02,0.0,SYNTHETIC_NOISE,0.0124,-25.96
2026-06-17 11:04:08,0.0,SYNTHETIC_AM,0.0,-100.0
2026-06-17 11:04:10,0.0,SYNTHETIC_DIGITAL,0.5599,50.59
2026-06-17 11:08:00,99.5,AM,0.0,-9.11
2026-06-17 11:08:04,97.8,AM,0.0,-9.63
2026-06-17 11:08:07,0.0,SYNTHETIC_FM,0.3893,-30.23
2026-06-17 11:08:10,0.0,SYNTHETIC_AM,0.0257,3.63
2026-06-17 11:08:13,0.0,SYNTHETIC_DIGITAL,0.1943,46.97
2026-06-17 11:08:17,0.0,SYNTHETIC_DIGITAL,0.5033,30.61
2026-06-17 11:17:29,99.5,AM,0.0,-9.39
2026-06-17 11:17:39,97.8,AM,0.0,-9.54
2026-06-17 11:17:43,0.0,SYNTHETIC_FM,0.3893,-30.23
2026-06-17 11:17:48,0.0,SYNTHETIC_AM,0.0257,3.63
2026-06-17 11:17:51,0.0,SYNTHETIC_DIGITAL,0.1984,46.89
2026-06-17 11:17:55,0.0,SYNTHETIC_DIGITAL,0.5177,-9.37
2026-06-17 11:19:44,99.5,AM,0.0,-8.95
2026-06-17 11:19:50,97.8,AM,0.0,-9.32
2026-06-17 11:19:53,0.0,SYNTHETIC_FM,0.3893,-30.23
2026-06-17 11:19:55,0.0,SYNTHETIC_AM,0.0257,3.63
2026-06-17 11:19:58,0.0,SYNTHETIC_DIGITAL,0.1943,46.98
2026-06-17 11:20:01,0.0,SYNTHETIC_DIGITAL,0.5412,-9.35
2026-06-17 11:22:24,99.5,AM,0.0,-9.03
2026-06-17 11:22:47,97.8,AM,0.0,-9.62
2026-06-17 11:22:49,0.0,SYNTHETIC_FM,0.3893,-30.23
2026-06-17 11:22:52,0.0,SYNTHETIC_AM,0.0257,3.63
2026-06-17 11:22:55,0.0,SYNTHETIC_DIGITAL,0.1852,47.48
2026-06-17 11:22:58,0.0,SYNTHETIC_DIGITAL,0.5531,-9.37
2026-06-17 11:25:10,99.5,AM,0.0,-9.3
2026-06-17 11:25:19,97.8,AM,0.0,-9.87
2026-06-17 11:25:21,0.0,SYNTHETIC_FM,0.3893,-30.23
2026-06-17 11:25:24,0.0,SYNTHETIC_AM,0.0257,3.63
2026-06-17 11:25:26,0.0,SYNTHETIC_DIGITAL,0.1935,47.08
2026-06-17 11:25:29,0.0,SYNTHETIC_NOISE,0.0,-9.37
2026-06-17 11:26:46,99.5,AM,0.0,-8.85
2026-06-17 11:27:02,97.8,AM,0.0,-9.39
2026-06-17 11:27:04,0.0,SYNTHETIC_FM,0.3893,-30.23
2026-06-17 11:27:09,0.0,SYNTHETIC_AM,0.0257,3.63
2026-06-17 11:27:12,0.0,SYNTHETIC_DIGITAL,0.1841,47.31
2026-06-17 11:27:15,0.0,SYNTHETIC_DIGITAL,0.512,-9.4
2026-06-17 11:30:02,99.5,AM,0.0,-8.88
2026-06-17 11:30:12,97.8,AM,0.0,-9.62
2026-06-17 11:30:15,0.0,SYNTHETIC_FM,0.3893,-30.23
2026-06-17 11:30:19,0.0,SYNTHETIC_AM,0.0257,3.63
2026-06-17 11:30:22,0.0,SYNTHETIC_DIGITAL,0.1906,47.13
2026-06-17 11:30:25,0.0,SYNTHETIC_DIGITAL,0.5393,-9.38
2026-06-17 11:40:20,99.5,AM,0.0,-76.2
2026-06-17 11:40:23,97.8,AM,0.0,-76.37
2026-06-17 11:40:25,0.0,SYNTHETIC_FM,0.3893,-137.37
2026-06-17 11:40:27,0.0,SYNTHETIC_AM,0.0257,-116.23
2026-06-17 11:40:30,0.0,SYNTHETIC_DIGITAL,0.1953,-50.63
2026-06-17 11:40:34,0.0,SYNTHETIC_DIGITAL,0.5766,-15.94
2026-06-17 11:44:55,99.5,AM,0.0,-76.27
2026-06-17 11:44:59,97.8,AM,0.0,-76.16
2026-06-17 11:45:02,0.0,SYNTHETIC_FM,0.3893,-137.37
2026-06-17 11:45:04,0.0,SYNTHETIC_AM,0.0257,-116.23
2026-06-17 11:45:06,0.0,SYNTHETIC_DIGITAL,0.1947,-51.31
2026-06-17 11:45:09,0.0,SYNTHETIC_DIGITAL,0.5377,-16.48
2026-06-17 11:46:41,99.5,AM,0.0,-76.08
2026-06-17 11:46:44,97.8,AM,0.0,-76.09
2026-06-17 11:46:46,0.0,SYNTHETIC_FM,0.3893,-137.37
2026-06-17 11:46:48,0.0,SYNTHETIC_AM,0.0257,-116.23
2026-06-17 11:46:51,0.0,SYNTHETIC_DIGITAL,0.2004,-50.7
2026-06-17 11:46:53,0.0,SYNTHETIC_DIGITAL,0.5618,-16.1
2026-06-17 11:47:53,99.5,AM,0.0,-75.79
2026-06-17 11:47:56,97.8,AM,0.0,-75.95
2026-06-17 11:47:59,0.0,SYNTHETIC_FM,0.3893,-137.37
2026-06-17 11:48:02,0.0,SYNTHETIC_AM,0.0257,-116.23
2026-06-17 11:48:05,0.0,SYNTHETIC_DIGITAL,0.1943,-51.97
2026-06-17 11:48:09,0.0,SYNTHETIC_NOISE,0.0,-15.84
2026-06-17 11:51:15,99.5,AM,0.0,-75.56
2026-06-17 11:51:19,97.8,AM,0.0,-76.15
2026-06-17 11:51:21,0.0,SYNTHETIC_FM,0.3893,-137.37
2026-06-17 11:51:23,0.0,SYNTHETIC_AM,0.0257,-116.23
2026-06-17 11:51:26,0.0,SYNTHETIC_DIGITAL,0.1958,-51.33
2026-06-17 11:51:30,0.0,SYNTHETIC_NOISE,0.0,-17.27
2026-06-17 11:53:30,99.5,AM,0.0,-75.7
2026-06-17 11:53:34,97.8,AM,0.0,-75.59
2026-06-17 11:53:36,0.0,SYNTHETIC_FM,0.3893,-137.37
2026-06-17 11:53:39,0.0,SYNTHETIC_AM,0.0257,-116.23
2026-06-17 11:53:41,0.0,SYNTHETIC_FM,0.1873,-52.34
2026-06-17 11:53:43,0.0,SYNTHETIC_NOISE,0.0,-16.3
2026-06-17 11:55:47,99.5,AM,0.0,-76.24
2026-06-17 11:55:51,97.8,AM,0.0,-75.88
2026-06-17 11:55:53,0.0,SYNTHETIC_FM,0.3893,-137.37
2026-06-17 11:55:55,0.0,SYNTHETIC_AM,0.0257,-116.23
2026-06-17 11:55:57,0.0,SYNTHETIC_DIGITAL,0.1821,-52.51
2026-06-17 11:55:59,0.0,SYNTHETIC_NOISE,0.0,-16.17
2026-06-17 11:57:34,99.5,AM,0.0,-75.66
2026-06-17 11:57:36,97.8,AM,0.0,-76.34
2026-06-17 11:57:38,0.0,SYNTHETIC_FM,0.3893,-137.37
2026-06-17 11:57:40,0.0,SYNTHETIC_AM,0.0257,-116.23
2026-06-17 11:57:42,0.0,SYNTHETIC_DIGITAL,0.1915,-51.08
2026-06-17 11:57:45,0.0,SYNTHETIC_NOISE,0.0,-16.33
2026-06-17 11:59:06,99.5,AM,0.0,-75.71
2026-06-17 11:59:11,97.8,AM,0.0,-75.99
2026-06-17 11:59:13,0.0,SYNTHETIC_FM,0.3893,-137.37
2026-06-17 11:59:15,0.0,SYNTHETIC_AM,0.0257,-116.23
2026-06-17 11:59:17,0.0,SYNTHETIC_DIGITAL,0.1761,-53.32
2026-06-17 11:59:20,0.0,SYNTHETIC_NOISE,0.0,-16.45
2026-06-17 12:00:19,99.5,AM,0.0,-75.32
2026-06-17 12:00:22,97.8,AM,0.0,-76.41
2026-06-17 12:00:24,0.0,SYNTHETIC_NOISE,0.0067,-137.37
2026-06-17 12:00:26,0.0,SYNTHETIC_AM,0.0003,-116.23
2026-06-17 12:00:29,0.0,SYNTHETIC_DIGITAL,0.1486,-52.82
2026-06-17 12:00:34,0.0,SYNTHETIC_NOISE,0.0,-16.41
2026-06-17 12:01:33,99.5,AM,0.0,-75.84
2026-06-17 12:01:35,97.8,AM,0.0,-75.95
2026-06-17 12:01:38,0.0,SYNTHETIC_NOISE,0.0067,-137.37
2026-06-17 12:01:41,0.0,SYNTHETIC_AM,0.0003,-116.23
2026-06-17 12:01:44,0.0,SYNTHETIC_DIGITAL,0.142,-53.45
2026-06-17 12:01:49,0.0,SYNTHETIC_NOISE,0.0,-15.95
2026-06-17 12:04:36,99.5,AM,0.0,-75.86
2026-06-17 12:04:38,97.8,AM,0.0,-76.09
2026-06-17 12:04:41,0.0,SYNTHETIC_NOISE,0.0067,-137.37
2026-06-17 12:04:43,0.0,SYNTHETIC_AM,0.0003,-116.23
2026-06-17 12:04:48,0.0,SYNTHETIC_DIGITAL,0.1703,-51.49
2026-06-17 12:04:53,0.0,SYNTHETIC_NOISE,0.0,-17.19
2026-06-17 12:05:37,99.5,AM,0.0002,-75.7
2026-06-17 12:05:40,97.8,AM,0.0,-75.92
2026-06-17 12:05:43,0.0,SYNTHETIC_FM,0.1839,-137.37
2026-06-17 12:05:46,0.0,SYNTHETIC_AM,0.0077,-116.23
2026-06-17 12:05:49,0.0,SYNTHETIC_FM,1.7935,-52.3
2026-06-17 12:05:54,0.0,SYNTHETIC_NOISE,0.0,-16.3
2026-06-17 12:07:59,99.5,AM,0.0,-75.99
2026-06-17 12:08:37,97.8,AM,0.0,-76.1
2026-06-17 12:08:39,0.0,SYNTHETIC_NOISE,0.0002,-137.37
2026-06-17 12:08:42,0.0,SYNTHETIC_AM,0.0,-116.23
2026-06-17 12:08:45,0.0,SYNTHETIC_AM,0.0006,-51.3
2026-06-17 12:08:50,0.0,SYNTHETIC_NOISE,0.0,-16.28
2026-06-17 12:14:36,99.5,AM,0.0,-75.59
2026-06-17 12:15:12,97.8,AM,0.0,-76.19
2026-06-17 12:15:44,0.0,SYNTHETIC_NOISE,0.0002,-137.37
2026-06-17 12:15:47,0.0,SYNTHETIC_AM,0.0,-116.23
2026-06-17 12:15:49,0.0,SYNTHETIC_AM,0.0007,-51.35
2026-06-17 12:15:53,0.0,SYNTHETIC_NOISE,0.0,-17.27
2026-06-17 12:18:11,99.5,NOISE,0.0,-75.79
2026-06-17 12:18:14,97.8,NOISE,0.0,-76.08
2026-06-17 12:18:16,0.0,SYNTHETIC_NOISE,0.0002,-137.37
2026-06-17 12:18:18,0.0,SYNTHETIC_AM,0.0,-116.23
2026-06-17 12:18:20,0.0,SYNTHETIC_AM,0.0001,-51.77
2026-06-17 12:18:23,0.0,SYNTHETIC_NOISE,0.0,-16.73
2026-06-17 12:19:25,99.5,DIGITAL,0.1487,-10.34
2026-06-17 12:19:28,97.8,DIGITAL,0.1211,-10.43
2026-06-17 12:19:30,0.0,SYNTHETIC_AM,0.001,-31.38
2026-06-17 12:19:32,0.0,SYNTHETIC_AM,0.0,2.08
2026-06-17 12:19:34,0.0,SYNTHETIC_AM,0.0068,45.02
2026-06-17 12:19:37,0.0,SYNTHETIC_DIGITAL,0.0624,-10.5
2026-06-17 12:20:24,99.5,FM,0.1153,-10.02
2026-06-17 12:20:27,97.8,FM,0.1291,-9.98
2026-06-17 12:20:30,0.0,SYNTHETIC_AM,0.001,-31.38
2026-06-17 12:20:32,0.0,SYNTHETIC_AM,0.0,2.08
2026-06-17 12:20:35,0.0,SYNTHETIC_AM,0.006,45.25
2026-06-17 12:20:39,0.0,SYNTHETIC_DIGITAL,0.075,-10.48
2026-06-17 12:21:54,99.5,FM,0.1801,-10.42
2026-06-17 12:21:56,97.8,DIGITAL,0.0796,-9.88
2026-06-17 12:21:59,0.0,SYNTHETIC_AM,0.0011,29.68
2026-06-17 12:22:04,0.0,SYNTHETIC_AM,0.0,26.6
2026-06-17 12:22:08,0.0,SYNTHETIC_AM,0.0048,33.05
2026-06-17 12:22:12,0.0,SYNTHETIC_FM,0.1081,23.48
2026-06-17 12:27:40,99.5,DIGITAL,0.0745,-10.15
2026-06-17 12:27:43,97.8,FM,0.1078,-10.48
2026-06-17 12:27:46,0.0,SYNTHETIC_AM,0.001,29.71
2026-06-17 12:27:50,0.0,SYNTHETIC_AM,0.0,26.53
2026-06-17 12:27:58,0.0,SYNTHETIC_AM,0.0028,33.04
2026-06-17 12:28:05,0.0,SYNTHETIC_DIGITAL,0.0686,23.51
2026-06-17 12:28:37,99.5,DIGITAL,0.0741,-9.32
2026-06-17 12:28:40,97.8,FM,0.1203,-10.1
2026-06-17 12:28:42,0.0,SYNTHETIC_AM,0.001,29.67
2026-06-17 12:28:45,0.0,SYNTHETIC_AM,0.0,26.5
2026-06-17 12:28:49,0.0,SYNTHETIC_AM,0.0038,33.04
2026-06-17 12:28:53,0.0,SYNTHETIC_DIGITAL,0.0695,23.52
2026-06-18 16:39:19,99.5,FM,0.1484,-10.47
2026-06-18 16:39:23,97.8,FM,0.1513,-10.0
2026-06-18 16:39:26,0.0,SYNTHETIC_AM,0.001,29.68
2026-06-18 16:39:29,0.0,SYNTHETIC_AM,0.0,26.6
2026-06-18 16:39:33,0.0,SYNTHETIC_AM,0.0037,33.11
2026-06-18 16:39:38,0.0,SYNTHETIC_FM,0.0871,23.49
2026-06-18 16:40:13,99.5,DIGITAL,0.0515,-10.48
2026-06-18 16:40:27,97.8,FM,0.1508,-10.07
2026-06-18 16:40:44,0.0,SYNTHETIC_AM,0.001,29.7
2026-06-18 16:41:06,0.0,SYNTHETIC_AM,0.0,26.5
2026-06-18 16:41:22,0.0,SYNTHETIC_AM,0.0026,33.05
2026-06-18 16:41:50,0.0,SYNTHETIC_DIGITAL,0.0697,23.49
